AGE_GROUP,GENDER,REGION,YEAR,TOTAL_STUDENTS,TOTAL_POPULATION,PROP_STUDENTS_100K
30-34 ans,other,île-de-france,2025,7,,
25-29 ans,other,occitanie,2024,3,,
35-39 ans,other,hauts-de-france,2022,5,,
30-34 ans,other,centre-val de loire,2023,2,,
35-39 ans,other,drom,2025,1,,
30-34 ans,other,île-de-france,2024,10,,
45-49 ans,other,normandie,2024,1,,
40-44 ans,other,île-de-france,2024,8,,
40-44 ans,other,provence-alpes-côte d'azur,2022,8,,
40-44 ans,other,nouvelle-aquitaine,2023,3,,
40-44 ans,other,nouvelle-aquitaine,2022,7,,
45-49 ans,other,hauts-de-france,2022,4,,
25-29 ans,other,île-de-france,2024,2,,
25-29 ans,other,île-de-france,2025,8,,
35-39 ans,other,nouvelle-aquitaine,2023,3,,
50-54 ans,other,grand est,2023,1,,
55-59 ans,other,provence-alpes-côte d'azur,2022,1,,
25-29 ans,other,centre-val de loire,2023,2,,
40-44 ans,other,auvergne-rhône-alpes,2024,2,,
25-29 ans,other,nouvelle-aquitaine,2023,3,,
40-44 ans,other,occitanie,2024,1,,
35-39 ans,other,provence-alpes-côte d'azur,2023,2,,
35-39 ans,other,centre-val de loire,2022,5,,
35-39 ans,other,provence-alpes-côte d'azur,2022,6,,
35-39 ans,other,provence-alpes-côte d'azur,2024,2,,
35-39 ans,other,occitanie,2024,1,,
60 ans ou plus,other,île-de-france,2023,5,,
25-29 ans,other,occitanie,2022,5,,
20-24 ans,other,île-de-france,2022,4,,
45-49 ans,other,île-de-france,2024,1,,
35-39 ans,other,normandie,2024,2,,
25-29 ans,other,provence-alpes-côte d'azur,2024,1,,
30-34 ans,other,nouvelle-aquitaine,2023,7,,
25-29 ans,other,bretagne,2022,3,,
50-54 ans,other,auvergne-rhône-alpes,2023,2,,
60 ans ou plus,other,occitanie,2022,2,,
45-49 ans,other,grand est,2025,1,,
35-39 ans,other,auvergne-rhône-alpes,2024,1,,
50-54 ans,other,pays de la loire,2022,4,,
30-34 ans,other,pays de la loire,2025,1,,
35-39 ans,other,bretagne,2024,1,,
50-54 ans,other,hauts-de-france,2023,3,,
30-34 ans,other,bretagne,2022,5,,
60 ans ou plus,other,bretagne,2025,1,,
50-54 ans,other,île-de-france,2025,4,,
50-54 ans,other,grand est,2024,1,,
30-34 ans,other,hauts-de-france,2023,5,,
50-54 ans,other,grand est,2025,2,,
30-34 ans,other,bourgogne-franche-comté,2023,1,,
20-24 ans,other,grand est,2025,1,,
25-29 ans,other,île-de-france,2022,62,,
40-44 ans,other,hauts-de-france,2022,8,,
30-34 ans,other,bourgogne-franche-comté,2022,4,,
55-59 ans,other,île-de-france,2023,12,,
25-29 ans,other,bretagne,2024,1,,
55-59 ans,other,provence-alpes-côte d'azur,2023,1,,
40-44 ans,other,île-de-france,2025,1,,
25-29 ans,other,auvergne-rhône-alpes,2023,6,,
35-39 ans,other,grand est,2024,3,,
40-44 ans,other,normandie,2023,1,,
30-34 ans,other,occitanie,2024,1,,
30-34 ans,other,île-de-france,2022,90,,
35-39 ans,other,grand est,2023,2,,
45-49 ans,other,pays de la loire,2023,1,,
35-39 ans,other,occitanie,2023,2,,
40-44 ans,other,auvergne-rhône-alpes,2025,1,,
20-24 ans,other,hauts-de-france,2023,1,,
35-39 ans,other,nouvelle-aquitaine,2024,2,,
45-49 ans,other,grand est,2022,2,,
35-39 ans,other,île-de-france,2022,69,,
30-34 ans,other,normandie,2023,3,,
50-54 ans,other,île-de-france,2024,3,,
55-59 ans,other,grand est,2023,1,,
30-34 ans,other,grand est,2022,11,,
55-59 ans,other,hauts-de-france,2022,2,,
35-39 ans,other,bretagne,2022,3,,
40-44 ans,other,normandie,2022,1,,
40-44 ans,other,pays de la loire,2022,5,,
45-49 ans,other,centre-val de loire,2023,1,,
30-34 ans,other,normandie,2022,5,,
30-34 ans,other,drom,2022,1,,
35-39 ans,other,nouvelle-aquitaine,2025,1,,
50-54 ans,other,hauts-de-france,2022,4,,
30-34 ans,other,île-de-france,2023,46,,
25-29 ans,other,auvergne-rhône-alpes,2022,11,,
35-39 ans,other,grand est,2022,9,,
20-24 ans,other,nouvelle-aquitaine,2023,1,,
45-49 ans,other,grand est,2024,3,,
40-44 ans,other,provence-alpes-côte d'azur,2023,3,,
